,tweet_id,timestamp,source,text,expanded_urls,name,shortened_url,dog_type,favorite_count,retweet_count,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,rating
0,890240255349198849,2017-07-26 15:59:51,iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate,https://twitter.com/dog_rates/status/890240255349198849/photo/1,Cassie,https://t.co/t1bfwz5S2A,doggo,32145,7543,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,14.0
1,884162670584377345,2017-07-09 21:29:42,iPhone,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo,https://twitter.com/dog_rates/status/884162670584377345/photo/1,Yogi,https://t.co/YSI00BzTBZ,doggo,20507,3040,German_shepherd,0.707046,True,malinois,0.199396,True,Norwegian_elkhound,0.0491476,True,12.0
2,872967104147763200,2017-06-09 00:02:31,iPhone,Here's a very large dog. He has a date later. Politely asked this water person to check if his breath is bad. 12/10 good to go doggo,"https://twitter.com/dog_rates/status/872967104147763200/photo/1,https://twitter.com/dog_rates/status/872967104147763200/photo/1",,https://t.co/EMYIdoblMR,doggo,27654,5545,Labrador_retriever,0.476913,True,Chesapeake_Bay_retriever,0.174145,True,German_short-haired_pointer,0.0928614,True,12.0
3,871515927908634625,2017-06-04 23:56:03,iPhone,This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids. 12/10 great doggo,"https://twitter.com/dog_rates/status/871515927908634625/photo/1,https://twitter.com/dog_rates/status/871515927908634625/photo/1",Napolean,https://t.co/PR7B7w1rUw,doggo,20464,3552,komondor,0.974781,True,briard,0.0200413,True,swab,0.00322824,False,12.0
4,871102520638267392,2017-06-03 20:33:19,iPhone,Never doubt a doggo 14/10,https://twitter.com/animalcog/status/871075758080503809,,https://t.co/AbBLh2FZCH,doggo,21176,5645,,,,,,,,,,14.0
5,869596645499047938,2017-05-30 16:49:31,iPhone,This is Scout. He just graduated. Officially a doggo now. Have fun with taxes and losing sight of your ambitions. 12/10 would throw cap for,"https://twitter.com/dog_rates/status/869596645499047938/photo/1,https://twitter.com/dog_rates/status/869596645499047938/photo/1",Scout,https://t.co/DsA2hwXAJo,doggo,16251,3247,Chihuahua,0.955156,True,toy_terrier,0.00805373,True,muzzle,0.00629563,False,12.0
6,858843525470990336,2017-05-01 00:40:27,iPhone,I have stumbled puppon a doggo painting party. They're looking to be the next Pupcasso or Puppollock. All 13/10 would put it on the fridge,https://twitter.com/dog_rates/status/858843525470990336/photo/1,,https://t.co/cUeDMlHJbq,doggo,16082,3685,golden_retriever,0.57812,True,Labrador_retriever,0.286059,True,bloodhound,0.0269173,True,13.0
7,855851453814013952,2017-04-22 18:31:02,iPhone,Here's a puppo participating in the #ScienceMarch. Cleverly disguising her own doggo agenda. 13/10 would keep the planet habitable for,https://twitter.com/dog_rates/status/855851453814013952/photo/1,,https://t.co/cMhq16isel,doggo,47222,18853,flat-coated_retriever,0.321676,True,Labrador_retriever,0.115138,True,groenendael,0.0960997,True,13.0
8,854010172552949760,2017-04-17 16:34:26,iPhone,"At first I thought this was a shy doggo, but it's actually a Rare Canadian Floofer Owl. Amateurs would confuse the two. 11/10 only send dogs","https://twitter.com/dog_rates/status/854010172552949760/photo/1,https://twitter.com/dog_rates/status/854010172552949760/photo/1",,https://t.co/TXdT3tmuYk,doggo,16912,3378,English_springer,0.354733,True,collie,0.177538,True,Border_collie,0.131706,True,11.0
9,846514051647705089,2017-03-28 00:07:32,iPhone,This is Barney. He's an elder doggo. Hitches a ride when he gets tired. Waves goodbye before he leaves. 13/10 please come back soon,"https://twitter.com/dog_rates/status/846514051647705089/photo/1,https://twitter.com/dog_rates/status/846514051647705089/photo/1,https://twitter.com/dog_rates/status/846514051647705089/photo/1",Barney,https://t.co/cFAasDXauK,doggo,47593,12758,golden_retriever,0.650003,True,Leonberg,0.0651992,True,Norfolk_terrier,0.0529553,True,13.0
10,845397057150107648,2017-03-24 22:08:59,iPhone,"Say hello to Mimosa. She's an emotional support doggo who helps her owner with PTSD. 13/10, but she needs your help

https://t.co/L6mLzrd7Mx","https://www.gofundme.com/help-save-a-pup,https://twitter.com/dog_rates/status/845397057150107648/photo/1,https://twitter.com/dog_rates/status/845397057150107648/photo/1",Mimosa,https://t.co/L6mLzrd7Mx https://t.co/jMutBFdw5o,doggo,8123,2015,Dandie_Dinmont,0.394404,True,Maltese_dog,0.186537,True,West_Highland_white_terrier,0.181985,True,13.0
11,836753516572119041,2017-03-01 01:42:39,iPhone,This is Meera. She just heard about taxes and how much a doghouse in a nice area costs. Not pupared to be a  doggo anymore. 12/10,https://twitter.com/dog_rates/status/836753516572119041/photo/1,Meera,https://t.co/GZmNEdyoJY,doggo,20708,5123,mortarboard,0.936882,False,academic_gown,0.0208154,False,schipperke,0.0115635,True,12.0
12,834574053763584002,2017-02-23 01:22:14,iPhone,Here's a doggo fully pupared for a shower. H*ckin exquisite balance. Sneaky tongue slip too. 13/10,https://twitter.com/dog_rates/status/834574053763584002/photo/1,,https://t.co/UtEVnQ1ZPg,doggo,14777,2815,toilet_tissue,0.262936,False,golden_retriever,0.226564,True,bathtub,0.07887899999999999,False,13.0
13,834089966724603904,2017-02-21 17:18:39,iPhone,DOGGO ON THE LOOSE I REPEAT DOGGO ON THE LOOSE 10/10,https://twitter.com/stevekopack/status/834086676934836224,,https://t.co/ffIH2WxwF0,doggo,10831,2370,,,,,,,,,,10.0
14,832998151111966721,2017-02-18 17:00:10,iPhone,"This is Rhino. He arrived at a shelter with an elaborate doggo manual for his new family, written by someone who will always love him. 13/10","https://twitter.com/dog_rates/status/832998151111966721/photo/1,https://twitter.com/dog_rates/status/832998151111966721/photo/1",Rhino,https://t.co/QX1h0oqMz0,doggo,14362,2475,boxer,0.539036,True,French_bulldog,0.317617,True,bull_mastiff,0.0939285,True,13.0
15,832273440279240704,2017-02-16 17:00:25,iPhone,Say hello to Smiley. He's a blind therapy doggo having a h*ckin blast high steppin around in the snow. 14/10 would follow anywhere,https://twitter.com/dog_rates/status/832273440279240704/video/1,Smiley,https://t.co/SHAb1wHjMz,doggo,12193,2611,Pembroke,0.134081,True,ice_bear,0.0519278,False,pug,0.0443109,True,14.0
16,832032802820481025,2017-02-16 01:04:13,iPhone,"This is Miguel. He was the only remaining doggo at the adoption center after the weekend. Let's change that. 12/10

https://t.co/P0bO8mCQwN","https://www.petfinder.com/petdetail/34918210,https://twitter.com/dog_rates/status/832032802820481025/photo/1,https://twitter.com/dog_rates/status/832032802820481025/photo/1,https://twitter.com/dog_rates/status/832032802820481025/photo/1,https://twitter.com/dog_rates/status/832032802820481025/photo/1",Miguel,https://t.co/P0bO8mCQwN https://t.co/SU4K34NT4M,doggo,19303,5216,whippet,0.601712,True,Ibizan_hound,0.152662,True,Italian_greyhound,0.135055,True,12.0
17,831939777352105988,2017-02-15 18:54:34,iPhone,This is Emanuel. He's a h*ckin rare doggo. Dwells in a semi-urban environment. Round features make him extra collectible. 12/10 would so pet,https://twitter.com/dog_rates/status/831939777352105988/photo/1,Emanuel,https://t.co/k9bzgyVdUT,doggo,25957,6874,Pomeranian,0.153862,True,marmot,0.0912339,False,grey_fox,0.0906441,False,12.0
18,831322785565769729,2017-02-14 02:02:51,iPhone,This is Pete. He has no eyes. Needs a guide doggo. Also appears to be considerably fluffy af. 12/10 would hug softly,https://twitter.com/dog_rates/status/831322785565769729/photo/1,Pete,https://t.co/Xc0gyovCtK,doggo,9911,1708,Old_English_sheepdog,0.999715,True,Tibetan_terrier,4.62967e-05,True,guinea_pig,4.118430000000001e-05,False,12.0
19,829449946868879360,2017-02-08 22:00:52,iPhone,Here's a stressed doggo. Had a long day. Many things on her mind. The hat communicates these feelings exquisitely. 11/10,https://twitter.com/dog_rates/status/829449946868879360/photo/1,,https://t.co/fmRS43mWQB,doggo,11354,2281,Labrador_retriever,0.315163,True,golden_retriever,0.15321,True,Pekinese,0.13279100000000002,True,11.0
20,829374341691346946,2017-02-08 17:00:26,iPhone,This is Astrid. She's a guide doggo in training. 13/10 would follow anywhere,"https://twitter.com/dog_rates/status/829374341691346946/photo/1,https://twitter.com/dog_rates/status/829374341691346946/photo/1",Astrid,https://t.co/xo7FZFIAao,doggo,37547,10465,Staffordshire_bullterrier,0.757547,True,American_Staffordshire_terrier,0.14995,True,Chesapeake_Bay_retriever,0.0475227,True,13.0
21,828381636999917570,2017-02-05 23:15:47,iPhone,Meet Doobert. He's a deaf doggo. Didn't stop him on the field tho. Absolute legend today. 14/10 would pat head approvingly,https://twitter.com/dog_rates/status/828381636999917570/photo/1,Doobert,https://t.co/iCk7zstRA9,doggo,13677,2490,Bedlington_terrier,0.392535,True,Labrador_retriever,0.0890217,True,clumber,0.0817998,True,14.0
